binned_coordinates,updated_type,updated_subtype,hour,alert_count,binned_longitude,binned_latitude
"(-87.67, 41.92)",Accident,Minor,00:00,4,-87.67,41.92
"(-87.63, 41.78)",Accident,Minor,00:00,4,-87.63,41.78
"(-87.63, 41.91)",Accident,Minor,00:00,4,-87.63,41.91
"(-87.77, 41.97)",Accident,Minor,00:00,3,-87.77,41.97
"(-87.75, 41.97)",Accident,Minor,00:00,3,-87.75,41.97
"(-87.66, 41.9)",Accident,Minor,01:00,5,-87.66,41.9
"(-87.64, 41.85)",Accident,Minor,01:00,4,-87.64,41.85
"(-87.64, 41.87)",Accident,Minor,01:00,4,-87.64,41.87
"(-87.77, 41.87)",Accident,Minor,01:00,3,-87.77,41.87
"(-87.76, 41.97)",Accident,Minor,01:00,3,-87.76,41.97
"(-87.67, 41.91)",Accident,Minor,01:00,3,-87.67,41.91
"(-87.62, 41.9)",Accident,Minor,01:00,3,-87.62,41.9
"(-87.73, 41.95)",Accident,Minor,01:00,2,-87.73,41.95
"(-87.73, 41.96)",Accident,Minor,01:00,2,-87.73,41.96
"(-87.71, 41.87)",Accident,Minor,01:00,2,-87.71,41.87
"(-87.62, 41.9)",Accident,Minor,02:00,6,-87.62,41.9
"(-87.79, 41.98)",Accident,Minor,02:00,3,-87.79,41.98
"(-87.67, 41.92)",Accident,Minor,02:00,3,-87.67,41.92
"(-87.71, 41.83)",Accident,Minor,02:00,2,-87.71,41.83
"(-87.7, 41.9)",Accident,Minor,02:00,2,-87.7,41.9
"(-87.68, 41.84)",Accident,Minor,02:00,2,-87.68,41.84
"(-87.67, 41.88)",Accident,Minor,02:00,2,-87.67,41.88
"(-87.66, 41.9)",Accident,Minor,02:00,2,-87.66,41.9
"(-87.66, 42.01)",Accident,Minor,02:00,2,-87.66,42.01
"(-87.65, 41.89)",Accident,Minor,02:00,2,-87.65,41.89
"(-87.62, 41.9)",Accident,Minor,03:00,4,-87.62,41.9
"(-87.77, 41.87)",Accident,Minor,03:00,3,-87.77,41.87
"(-87.75, 41.99)",Accident,Minor,03:00,3,-87.75,41.99
"(-87.65, 41.88)",Accident,Minor,03:00,3,-87.65,41.88
"(-87.84, 41.95)",Accident,Minor,03:00,2,-87.84,41.95
"(-87.74, 41.79)",Accident,Minor,03:00,2,-87.74,41.79
"(-87.73, 41.87)",Accident,Minor,03:00,2,-87.73,41.87
"(-87.73, 41.95)",Accident,Minor,03:00,2,-87.73,41.95
"(-87.63, 41.79)",Accident,Minor,03:00,2,-87.63,41.79
"(-87.76, 41.89)",Accident,Minor,03:00,1,-87.76,41.89
"(-87.65, 41.88)",Accident,Minor,04:00,4,-87.65,41.88
"(-87.66, 41.9)",Accident,Minor,04:00,3,-87.66,41.9
"(-87.81, 41.98)",Accident,Minor,04:00,2,-87.81,41.98
"(-87.76, 41.92)",Accident,Minor,04:00,2,-87.76,41.92
"(-87.7, 41.87)",Accident,Minor,04:00,2,-87.7,41.87
"(-87.63, 41.81)",Accident,Minor,04:00,2,-87.63,41.81
"(-87.63, 41.84)",Accident,Minor,04:00,2,-87.63,41.84
"(-87.61, 41.85)",Accident,Minor,04:00,2,-87.61,41.85
"(-87.82, 41.98)",Accident,Minor,04:00,1,-87.82,41.98
"(-87.77, 41.99)",Accident,Minor,04:00,1,-87.77,41.99
"(-87.64, 41.86)",Accident,Minor,05:00,3,-87.64,41.86
"(-87.76, 41.97)",Accident,Minor,05:00,2,-87.76,41.97
"(-87.59, 41.66)",Accident,Minor,05:00,2,-87.59,41.66
"(-87.8, 41.8)",Accident,Minor,05:00,1,-87.8,41.8
"(-87.77, 41.93)",Accident,Minor,05:00,1,-87.77,41.93
"(-87.75, 41.96)",Accident,Minor,05:00,1,-87.75,41.96
"(-87.74, 41.99)",Accident,Minor,05:00,1,-87.74,41.99
"(-87.73, 41.94)",Accident,Minor,05:00,1,-87.73,41.94
"(-87.73, 41.95)",Accident,Minor,05:00,1,-87.73,41.95
"(-87.72, 41.78)",Accident,Minor,05:00,1,-87.72,41.78
"(-87.7, 41.83)",Accident,Minor,06:00,2,-87.7,41.83
"(-87.67, 41.88)",Accident,Minor,06:00,2,-87.67,41.88
"(-87.66, 41.84)",Accident,Minor,06:00,2,-87.66,41.84
"(-87.63, 41.82)",Accident,Minor,06:00,2,-87.63,41.82
"(-87.62, 41.9)",Accident,Minor,06:00,2,-87.62,41.9
"(-87.78, 41.94)",Accident,Minor,06:00,1,-87.78,41.94
"(-87.72, 41.95)",Accident,Minor,06:00,1,-87.72,41.95
"(-87.63, 41.83)",Accident,Minor,06:00,1,-87.63,41.83
"(-87.62, 41.72)",Accident,Minor,06:00,1,-87.62,41.72
"(-87.62, 41.86)",Accident,Minor,06:00,1,-87.62,41.86
"(-87.58, 41.65)",Accident,Minor,07:00,2,-87.58,41.65
"(-87.74, 41.96)",Accident,Minor,07:00,1,-87.74,41.96
"(-87.73, 41.82)",Accident,Minor,07:00,1,-87.73,41.82
"(-87.72, 41.82)",Accident,Minor,07:00,1,-87.72,41.82
"(-87.72, 41.95)",Accident,Minor,07:00,1,-87.72,41.95
"(-87.63, 41.8)",Accident,Minor,07:00,1,-87.63,41.8
"(-87.63, 41.81)",Accident,Minor,07:00,1,-87.63,41.81
